unobserved_strength,seed,generator,iteration,selection_severity,frontier_severity,passed,naive_declined_ece,reweight_declined_ece,retrain_declined_ece,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,exploration_cost
0.0,1240,scm,3,0.6,0.4,False,0.2385596942327896,0.19377109795782133,0.26747629498953035,0.047751507790839226,0.004826487369543272,0.04761131331530879,0.0041947234673352695,0.0
0.0,1256,scm,0,0.0,0.2,True,0.026995806836775264,0.027954565603563873,0.025328465007444134,0.016380137264625852,0.043015735088085795,0.01591768700832705,0.04384601062344263,0.0
0.0,1256,scm,1,0.2,0.2,True,0.04629455154576698,0.04433546371647834,0.04244678905619237,0.029118794898779048,0.03133539767626846,0.02873952526675157,0.03263892970296461,0.0
0.0,1256,scm,2,0.4,0.2,False,0.13003681875283157,0.10133709287762867,0.10691330687782613,0.04397961175426253,0.013892339139039351,0.04544328198533411,0.015110293742367402,0.0
0.0,1272,scm,0,0.0,0.4,True,0.017987577094285282,0.01533700998995812,0.027064864244374796,0.01908709668708246,0.039907505780710374,0.021040291626211162,0.04054025242284834,0.0
0.0,1272,scm,1,0.2,0.4,True,0.03556809843800843,0.03341257583987215,0.04465932958318883,0.02934208965106714,0.029338129590834608,0.030771917427138,0.030919502918670457,0.0
0.0,1272,scm,2,0.4,0.4,True,0.1043383469304566,0.08686742544416845,0.08204083849403354,0.04343693513548279,0.02072246874606962,0.040741117690801916,0.020371151290536595,0.0
0.0,1272,scm,3,0.6,0.4,False,0.24430477858815114,0.1986343086147919,0.21586941908886956,0.047539413379972785,0.0027181511096669134,0.04657289315394189,0.0013509704732428947,0.0
0.0,1288,scm,0,0.0,0.4,True,0.03233742358781752,0.0394282233679837,0.023913659859335492,0.018271428524194482,0.0447991253621368,0.01728961876235901,0.044518648051105864,0.0
0.0,1288,scm,1,0.2,0.4,True,0.014956719722622186,0.045847723079469486,0.025648805210618637,0.02781900985262468,0.03413704141429567,0.028502003939327045,0.03527536650845533,0.0
0.0,1288,scm,2,0.4,0.4,True,0.06591453856116165,0.06582544028167214,0.09913233532279897,0.03861579099659761,0.018529095212036197,0.03868547218350169,0.018011229048672264,0.0
0.0,1288,scm,3,0.6,0.4,False,0.24220992472615635,0.21852023959455943,0.18809588875619768,0.04714022139698612,0.00529097300828678,0.04446514419115159,0.0008605107646025364,0.0
