seed,generator,iteration,selection_severity,frontier_severity,passed,naive_declined_ece,reweight_declined_ece,retrain_declined_ece,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,exploration_cost
41,flat,3,0.6,0.4,False,0.17409800324023353,0.15387849330973072,0.19404503765420583,0.022123461560394755,,0.022933622621561976,,0.0
43,flat,0,0.0,0.4,True,0.04416857408184258,0.04975140614536066,0.035565871492339876,0.007157414180786664,,0.008259082519458519,,0.0
43,flat,1,0.2,0.4,True,0.041699741762822075,0.04512224118386225,0.04116479267371381,0.01620058633203013,,0.0149459395026444,,0.0
43,flat,2,0.4,0.4,True,0.0765577516220281,0.06941745329237085,0.08244135321456252,0.01649091167968018,,0.016117447509971225,,0.0
43,flat,3,0.6,0.4,False,0.222656938588122,0.19342403199154246,0.212923648947213,0.03228087995592237,,0.03103375481437684,,0.0
47,flat,0,0.0,0.4,True,0.025797888287890557,0.022549892422923733,0.027526139155712396,0.007320595979199011,,0.00802426348227954,,0.0
47,flat,1,0.2,0.4,True,0.051307737821510345,0.05299851091298446,0.04893662902208091,0.016308320945370016,,0.014872425330827246,,0.0
47,flat,2,0.4,0.4,True,0.09950838696338361,0.0812694321044923,0.11123203457392103,0.022979546085982766,,0.022616960383584704,,0.0
47,flat,3,0.6,0.4,False,0.20923106297626293,0.21438879344896306,0.19289878849503705,0.028633339010855616,,0.027855356190121854,,0.0
53,flat,0,0.0,0.4,True,0.027450612501792274,0.02976428901718943,0.02407265893187872,0.00837948357769612,,0.006756349553169359,,0.0
53,flat,1,0.2,0.4,True,0.040099546767491286,0.0403011375113971,0.06600673944745286,0.019321258243056715,,0.018602152685479975,,0.0
53,flat,2,0.4,0.4,True,0.1130477869106381,0.09025296668967767,0.10264960340465226,0.022137272148942747,,0.02230131604872577,,0.0
53,flat,3,0.6,0.4,False,0.2165081983033138,0.21085415413668468,0.23161242182761327,0.032178077463383706,,0.03152692703045018,,0.0
59,flat,0,0.0,0.2,True,0.033371144321506355,0.03496185829310183,0.026362963630829975,0.007075742146121519,,0.007921957382910294,,0.0
59,flat,1,0.2,0.2,True,0.026807938575541524,0.021781683697501907,0.031224164563939723,0.015512057482777918,,0.014558877705764188,,0.0
59,flat,2,0.4,0.2,False,0.11205722325263634,0.10154071231511361,0.11164553756401097,0.01933593939250157,,0.019743399439203786,,0.0
61,flat,0,0.0,0.4,True,0.029319361324602933,0.034140058893023274,0.02206402693653181,0.007948470149861905,,0.008103769013203933,,0.0
61,flat,1,0.2,0.4,True,0.03873643312356526,0.05023539149660233,0.040893383766674125,0.015451119707949223,,0.014084247810197327,,0.0
61,flat,2,0.4,0.4,True,0.06532753397895306,0.06438763333643467,0.09868924763894002,0.015735769763202782,,0.01608739275408551,,0.0
61,flat,3,0.6,0.4,False,0.183721519667924,0.16101096251742925,0.17975979681984516,0.03003261509672887,,0.02936378110635689,,0.0
67,flat,0,0.0,0.4,True,0.03022633214660382,0.020656792620305578,0.030841623789469832,0.006981082886804809,,0.009555057002954545,,0.0
67,flat,1,0.2,0.4,True,0.03102389172851658,0.041807884517688035,0.03840632805811065,0.015299732798698132,,0.01221585226859318,,0.0
67,flat,2,0.4,0.4,True,0.09959419774545003,0.08243694230269952,0.07759080280468111,0.021258408832769977,,0.020652026802668397,,0.0
67,flat,3,0.6,0.4,False,0.1850966059737766,0.18151750177976578,0.21536511540434788,0.024770577861142666,,0.024052421381643,,0.0
71,flat,0,0.0,0.2,True,0.04010431904664302,0.030515973564048518,0.04031669766451887,0.012296935728184601,,0.010259278904297672,,0.0
71,flat,1,0.2,0.2,True,0.03896464238682862,0.03316028390767818,0.033730696115896006,0.012867602738844769,,0.016528866032410872,,0.0
71,flat,2,0.4,0.2,False,0.1121626328195938,0.10036180223175886,0.09342582730530395,0.026354799061293968,,0.024474747417670584,,0.0
73,flat,0,0.0,0.4,True,0.019344624182948845,0.020670684626768233,0.025242383103726788,0.00943952953459028,,0.009341860653034722,,0.0
73,flat,1,0.2,0.4,True,0.04382951911963123,0.038090311354343875,0.03282693877958298,0.016563806000785428,,0.01590541656277408,,0.0
73,flat,2,0.4,0.4,True,0.09524445866578073,0.08771721719619267,0.08426555722637874,0.021920485649964554,,0.025142936527786344,,0.0
73,flat,3,0.6,0.4,False,0.20429115754983299,0.19578992819663396,0.1883920081370815,0.025476524258515765,,0.024865202628564658,,0.0
79,flat,0,0.0,0.2,True,0.03671144531276013,0.028143970973510173,0.028737236858654525,0.009633104711067656,,0.009613086218445404,,0.0
79,flat,1,0.2,0.2,True,0.0318814942641618,0.03346871022604343,0.038959016802532026,0.011964324573699649,,0.01483703444488108,,0.0
79,flat,2,0.4,0.2,False,0.11343376670005033,0.10678187288650695,0.12023916711590976,0.022792916196020613,,0.023175500816399342,,0.0
